Год;Время года;Климат;Город;Страна;Способ охлаждения;Режим при смешанном типе охлаждения;Способ обогрева;Возраст;Пол;Ощущение температуры;Ощущение температуры (bool);Предпочтительное изменение температуры;Ощущение движения воздуха (bool);Предпочтительное изменение движения воздуха;Оценка комфорта;Утепление;Температура воздуха в помещении;Температура воздуха на улице;RH;Скорость воздуха;Рост;Вес;Занавески;Вентилятор;Окно;Двери;Отопление;Среднемесячная температура на улице;Количество рекламаций
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;22.0;;0.0;1.0;Без изменений;;Без изменений;3.5;0.54;22.9;22.8;48.9;0.26;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;40.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;74.8;23.7;39.2;0.12;;;0.0;0.0;;;;84.0;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;42.0;;1.0;1.0;Без изменений;;Без изменений;5.0;0.57;25.6;24.5;34.7;0.08;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;27.0;;-0.5;0.0;Теплее;;Без изменений;2.5;0.61;24.2;23.8;50.0;27.16;;;1.0;1.0;;;;28.9;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;46.0;;0.0;1.0;Без изменений;;Меньше;4.5;0.57;23.8;24.1;35.8;63.83;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;27.0;;0.0;1.0;Без изменений;;Без изменений;5.0;0.54;24.0;23.9;34.8;0.21;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;32.0;;-1.0;1.0;Теплее;;Меньше;3.5;0.57;24.7;24.8;42.2;0.1;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;30.0;;-2.0;1.0;Теплее;;Без изменений;4.3;0.61;74.8;23.6;40.0;0.09;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;43.0;;0.0;1.0;Без изменений;;Без изменений;5.0;0.57;25.5;25.5;34.7;0.15;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;43.0;;1.0;0.0;Холоднее;;Больше;4.0;0.61;76.4;24.4;34.5;0.34;;;0.0;0.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;30.0;;-1.4;1.0;Холоднее;;Больше;5.2;0.57;25.7;24.8;33.1;18.65;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;51.0;;-0.5;1.0;Теплее;;Без изменений;4.0;0.54;23.7;24.1;43.7;0.31;;;1.0;1.0;;;;328.0;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;32.0;;-1.0;1.0;Без изменений;;Меньше;4.5;0.57;24.6;24.6;38.4;0.14;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;26.0;;0.5;0.0;Холодн;;Больше;2.7;0.57;26.4;25.5;31.7;0.13;;;0.0;0.0;;;;32.8;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;31.0;;-1.5;0.0;Теплее;;Без изменений;2.5;0.54;23.2;23.0;45.2;0.13;;;1.0;1.0;;;;84.0;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;31.0;;0.0;1.0;Без изменений;;Без изменений;5.0;0.67;24.0;23.8;35.3;0.11;;;1.0;1.0;;;;29.4;0
2011.0;Лето;Cубтроп океанич;Техас;США;Кондиционирование;;;38.0;;0.0;1.0;Холоднее;;Больше;4.0;0.61;24.1;23.9;43.6;0.21;;;1.0;1.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;42.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;24.4;24.1;43.5;0.14;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;34.0;;-2.0;0.0;Теплее;;Меньше;2.0;0.79;23.8;24.2;43.8;0.32;;;1.0;1.0;;;;32.8;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;22.0;;2.0;0.0;Холоднее;;Больше;3.0;0.61;24.5;24.0;34.4;0.14;;;1.0;1.0;;;;31.7;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;41.0;;0.0;1.0;Без изменений;;Без изменений;3.5;0.61;23.6;23.6;41.8;0.17;;;1.0;1.0;;;;91.0;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;36.0;;1.5;1.0;Холоднее;;Больше;3.0;0.57;25.8;24.9;34.5;0.1;;;0.0;0.0;;;;28.9;3
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;32.0;;-1.0;1.0;Без изменений;;Без изменений;5.0;0.57;24.2;23.9;38.7;0.09;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;37.0;;1.6;0.0;Холоднее;;Больше;2.2;0.57;77.0;24.7;33.3;0.07;;;0.0;0.0;;;;32.8;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;42.0;;0.0;1.0;Холоднее;;Без изменений;3.0;0.61;23.8;23.8;39.4;0.19;;;1.0;1.0;;;;31.7;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;34.0;;0.0;1.0;Без изменений;;Без изменений;4.0;0.54;23.3;23.1;40.8;0.17;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;48.0;;-1.0;1.0;Без изменений;;Без изменений;5.0;0.61;24.0;23.9;44.1;46.0;;;1.0;1.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;28.0;;-0.2;1.0;Холоднее;;Больше;2.8;0.57;25.1;24.2;34.2;0.07;;;0.0;0.0;;;;32.8;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;30.0;;-0.5;1.0;Без изменений;;Меньше;4.0;0.79;23.9;24.6;40.4;47.97;;;1.0;1.0;;;;91.0;3
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;29.0;;0.6;0.0;Холоднее;;Больше;2.5;0.57;24.6;24.0;34.9;0.06;;;0.0;0.0;;;;32.8;3
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;28.0;;-1.3;1.0;Холоднее;;Больше;4.5;0.57;24.3;24.2;36.8;0.27;;;0.0;0.0;;;;91.0;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;27.0;;0.5;1.0;Без изменений;;Без изменений;4.5;0.54;24.1;23.6;37.6;29.61;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;43.0;;1.0;1.0;Холоднее;;Без изменений;5.0;0.61;24.8;24.9;36.9;0.2;;;0.0;0.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;39.0;;-1.0;1.0;Тепле;;Меньше;4.0;0.57;74.9;24.2;42.8;0.32;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;29.0;;2.0;0.0;Холоднее;;Больше;3.0;0.61;24.3;24.1;35.0;0.17;;;1.0;1.0;;;;89.0;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;43.0;;-1.0;1.0;Без изменений;;Без изменений;5.0;0.57;22.6;23.0;37.6;0.1;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;36.0;;-2.0;1.0;Теплее;;Без изменений;6.0;0.57;24.1;23.8;38.0;0.14;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;39.0;;0.0;1.0;Без изменений;;Без изменений;3.5;0.54;23.2;23.0;42.2;0.21;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;36.0;;1.0;1.0;Холоднее;;Больше;3.0;0.57;75.5;24.3;42.1;0.07;;;0.0;0.0;;;;28.9;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;31.0;;2.0;0.0;Холоднее;;Больше;3.0;0.57;24.4;24.4;34.1;0.13;;;0.0;0.0;;;;89.0;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;35.0;;0.0;1.0;Без изменений;;Меньше;5.0;0.57;24.7;24.7;39.4;0.11;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;32.0;;0.0;1.0;Холоднее;;Без изменений;5.0;0.61;75.7;24.1;42.6;0.28;;;1.0;1.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;26.0;;0.0;1.0;Без изменений;;Без изменений;3.5;0.54;23.4;22.9;39.1;0.11;;;1.0;1.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;29.0;;2.0;0.0;Холоднее;;Больше;3.0;0.54;24.1;24.0;34.8;0.21;;;1.0;1.0;;;;31.7;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;25.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;24.0;23.9;38.4;0.12;;;0.0;0.0;;;;84.0;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;38.0;;-1.0;1.0;Без изменений;;Без изменений;5.0;0.61;74.0;23.3;43.9;0.15;;;1.0;1.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;46.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;23.7;23.6;38.3;0.11;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;40.0;;0.0;1.0;Без изменений;;Больше;5.0;0.57;23.6;23.7;45.9;0.06;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;38.0;;-1.0;0.0;Теплее;;Меньше;2.0;0.61;23.8;24.0;42.3;0.36;;;1.0;1.0;;;;32.8;1
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;26.0;;0.0;1.0;Холоднее;;Больше;4.0;0.54;24.3;24.0;35.3;0.13;;;1.0;1.0;;;;31.7;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;38.0;;-0.5;1.0;Без изменений;;Меньше;4.5;0.61;23.8;24.2;42.1;0.33;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;50.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;24.3;24.2;37.6;0.09;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;28.0;;0.0;1.0;Без изменений;;Меньше;5.0;0.57;23.9;24.3;35.9;0.33;;;1.0;1.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;34.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;23.9;23.7;39.2;26.49;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;51.0;;-2.0;1.0;Без изменений;;Без изменений;6.0;0.61;75.7;24.1;38.5;0.12;;;0.0;0.0;;;;28.9;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;39.0;;-1.0;1.0;Без изменений;;Без изменений;5.0;0.57;25.0;25.0;36.0;0.12;;;0.0;0.0;;;;32.8;0
2011.0;Лето;Cубтропический океанический;Техас;США;Кондиционирование;;;26.0;;-1.0;0.0;Теплее;;Меньше;3.0;0.57;23.8;24.1;44.3;0.33;;;1.0;1.0;;;;32.8;1
